"idhod","hodnota","duvernost","stapro_kod","dnn_cis","dnn_kod","sektor_cis","sektor_kod","ozp_cis","ozp_kod","rok","uzemi_cis","uzemi_kod","ukazatel_txt","ozp_txt","uzemi_txt","typ_uzemi"
"704462014","12404703","verejny","3780","5710","20",,,"2307","140","2006","97","19","Neinvestiční náklady na ochranu životního prostředí - vnitřní náklady","Ekologické nakládání s odpady","Česká republika",
"704462021","13007209","verejny","3780","5710","10",,,"2307","140","2006","97","19","Neinvestiční náklady na ochranu životního prostředí - vnější náklady","Ekologické nakládání s odpady","Česká republika",
"704462023","162758","verejny","3780","5710","10",,,"2307","113","2006","97","19","Neinvestiční náklady na ochranu životního prostředí - vnější náklady","Omezování hluku a vibrací (kromě ochrany pracovišť)","Česká republika",
"704872651","794676","verejny","3780",,,,,"2307","114","2006","97","19","Neinvestiční náklady na ochranu životního prostředí","Ochrana krajiny a biodiverzity (druhová rozmanitost)","Česká republika",
"704462013","4308560","verejny","3780","5710","20",,,"2307","111","2006","97","19","Neinvestiční náklady na ochranu životního prostředí - vnitřní náklady","Ekologické nakládání s odpadními vodami","Česká republika",
"704462017","140150","verejny","3780","5710","20",,,"2307","114","2006","97","19","Neinvestiční náklady na ochranu životního prostředí - vnitřní náklady","Ochrana krajiny a biodiverzity (druhová rozmanitost)","Česká republika",
"704462024","654526","verejny","3780","5710","10",,,"2307","114","2006","97","19","Neinvestiční náklady na ochranu životního prostředí - vnější náklady","Ochrana krajiny a biodiverzity (druhová rozmanitost)","Česká republika",
"704872645","25411912","verejny","3780",,,,,"2307","140","2006","97","19","Neinvestiční náklady na ochranu životního prostředí","Ekologické nakládání s odpady","Česká republika",
"704872647","2499269","verejny","3780",,,,,"2307","112","2006","97","19","Neinvestiční náklady na ochranu životního prostředí","Ochrana a sanace půdy, podzemních a povrchových vod","Česká republika",
"704462012","1721451","verejny","3780","5710","20",,,"2307","130","2006","97","19","Neinvestiční náklady na ochranu životního prostředí - vnitřní náklady","Ochrana ovzduší a klimatu","Česká republika",
"704872634","20404289","verejny","3780","5710","10",,,,,"2006","97","19","Neinvestiční náklady na ochranu životního prostředí - vnější náklady",,"Česká republika",
"704462015","1449969","verejny","3780","5710","20",,,"2307","112","2006","97","19","Neinvestiční náklady na ochranu životního prostředí - vnitřní náklady","Ochrana a sanace půdy, podzemních a povrchových vod","Česká republika",
"704462019","1114053","verejny","3780","5710","10",,,"2307","130","2006","97","19","Neinvestiční náklady na ochranu životního prostředí - vnější náklady","Ochrana ovzduší a klimatu","Česká republika",
"704462020","2630567","verejny","3780","5710","10",,,"2307","111","2006","97","19","Neinvestiční náklady na ochranu životního prostředí - vnější náklady","Ekologické nakládání s odpadními vodami","Česká republika",
"704872632","40980894","verejny","3780",,,,,,,"2006","97","19","Neinvestiční náklady na ochranu životního prostředí",,"Česká republika",
"704872641","2835504","verejny","3780",,,,,"2307","130","2006","97","19","Neinvestiční náklady na ochranu životního prostředí","Ochrana ovzduší a klimatu","Česká republika",
"704462016","10065","verejny","3780","5710","20",,,"2307","113","2006","97","19","Neinvestiční náklady na ochranu životního prostředí - vnitřní náklady","Omezování hluku a vibrací (kromě ochrany pracovišť)","Česká republika",
"704872643","6939127","verejny","3780",,,,,"2307","111","2006","97","19","Neinvestiční náklady na ochranu životního prostředí","Ekologické nakládání s odpadními vodami","Česká republika",
"704872649","172823","verejny","3780",,,,,"2307","113","2006","97","19","Neinvestiční náklady na ochranu životního prostředí","Omezování hluku a vibrací (kromě ochrany pracovišť)","Česká republika",
"704462022","1049300","verejny","3780","5710","10",,,"2307","112","2006","97","19","Neinvestiční náklady na ochranu životního prostředí - vnější náklady","Ochrana a sanace půdy, podzemních a povrchových vod","Česká republika",
"704872653","1361297","verejny","3780",,,,,"2307","115","2006","97","19","Neinvestiční náklady na ochranu životního prostředí","Ochrana proti záření","Česká republika",
"704872655","104386","verejny","3780",,,,,"2307","116","2006","97","19","Neinvestiční náklady na ochranu životního prostředí","Výzkum a vývoj na ochranu životního prostředí","Česká republika",
