"kodjaz","akrcis","kodcis","chodnota","zkrtext","text","admplod","admnepo"
"CS","CISS2",5567,"11000","Nefinanční podniky","Nefinanční podniky","1998-01-01","9999-09-09"
"CS","CISS2",5567,"12000","Finanční instituce","Finanční instituce","1998-01-01","9999-09-09"
"CS","CISS2",5567,"13000","Vládní instituce","Vládní instituce","1998-01-01","9999-09-09"
"CS","CISS2",5567,"14000","Domácnosti","Domácnosti","1998-01-01","9999-09-09"
"CS","CISS2",5567,"15000","Nezisk.inst.slouž.dom.","Neziskové instituce sloužící domácnostem","1998-01-01","9999-09-09"
"CS","CISS2",5567,"21000","Evropská unie","Evropská unie","1998-01-01","9999-09-09"
"CS","CISS2",5567,"22000","Ost.země a mezinár.ins.","Ostatní země a mezinárodní instituce","1998-01-01","9999-09-09"
