"kodjaz","akrcis","kodcis","chodnota","zkrtext","text","admplod","admnepo"
"CS","DRUNENA",5710,"10","Vnější neinvestiční náklady","Vnější neinvestiční náklady","1900-01-01","9999-09-09"
"CS","DRUNENA",5710,"20","Vnitřní neinvestiční náklady","Vnitřní neinvestiční náklady","1900-01-01","9999-09-09"
