kodjaz,akrcis,kodcis,chodnota,zkrtext,text,admplod,admnepo
CS,DRUNENA,5710,10,External non-investment costs,External non-investment costs,1900-01-01,9999-09-09
CS,DRUNENA,5710,20,Internal non-investment costs,Internal non-investment costs,1900-01-01,9999-09-09
