"idhod","amount","year","confidentiality","location","non_investment_expense_type","program","sector","type_of_expense"
704462506,0,2013,"verejny","Česká republika",NULL,"Limitation of noise and vibration (except workplace protection)",NULL,"Capitalized output (methodology valid until 2015)"
704877687,12784,2013,"verejny","Česká republika",NULL,"Other environmental protection activities",NULL,"Capitalized output (methodology valid until 2015)"
704877605,32172612,2013,"verejny","Česká republika","Internal non-investment costs",NULL,NULL,"Non-investment environmental protection expenditure"
704877632,20125122,2013,"verejny","Česká republika","Internal non-investment costs","Waste management",NULL,"Non-investment environmental protection expenditure"
704877633,15868745,2013,"verejny","Česká republika","External non-investment costs","Waste management",NULL,"Non-investment environmental protection expenditure"
704994403,55803,2013,"verejny","Česká republika","External non-investment costs","Limitation of noise and vibration (except workplace protection)",NULL,"Non-investment environmental protection expenditure"
704877656,1172298,2013,"verejny","Česká republika",NULL,"Landscape and biodiversity protection (species diversity)",NULL,"Non-investment environmental protection expenditure"
1331004783,1814980,2023,"verejny","Česká republika",NULL,"Air and climate protection",NULL,"Turnover from selling of services"
704877623,6769406,2013,"verejny","Česká republika","Internal non-investment costs","Wastewater management",NULL,"Non-investment environmental protection expenditure"
704877657,318244,2013,"verejny","Česká republika","Internal non-investment costs","Landscape and biodiversity protection (species diversity)",NULL,"Non-investment environmental protection expenditure"
704877658,854054,2013,"verejny","Česká republika","External non-investment costs","Landscape and biodiversity protection (species diversity)",NULL,"Non-investment environmental protection expenditure"
704877631,35993867,2013,"verejny","Česká republika",NULL,"Waste management",NULL,"Non-investment environmental protection expenditure"
704877640,3703468,2013,"verejny","Česká republika",NULL,"Protection and rehabilitation of soil, underground and surface water",NULL,"Non-investment environmental protection expenditure"
704877614,2333002,2013,"verejny","Česká republika","Internal non-investment costs","Air and climate protection",NULL,"Non-investment environmental protection expenditure"
704877606,24285909,2013,"verejny","Česká republika","External non-investment costs",NULL,NULL,"Non-investment environmental protection expenditure"
704877641,1995301,2013,"verejny","Česká republika","Internal non-investment costs","Protection and rehabilitation of soil, underground and surface water",NULL,"Non-investment environmental protection expenditure"
704877615,982795,2013,"verejny","Česká republika","External non-investment costs","Air and climate protection",NULL,"Non-investment environmental protection expenditure"
704877624,4107771,2013,"verejny","Česká republika","External non-investment costs","Wastewater management",NULL,"Non-investment environmental protection expenditure"
704877604,56458521,2013,"verejny","Česká republika",NULL,NULL,NULL,"Non-investment environmental protection expenditure"
704877613,3315797,2013,"verejny","Česká republika",NULL,"Air and climate protection",NULL,"Non-investment environmental protection expenditure"
704994402,59897,2013,"verejny","Česká republika","Internal non-investment costs","Limitation of noise and vibration (except workplace protection)",NULL,"Non-investment environmental protection expenditure"
704877622,10877177,2013,"verejny","Česká republika",NULL,"Wastewater management",NULL,"Non-investment environmental protection expenditure"
704994401,115700,2013,"verejny","Česká republika",NULL,"Limitation of noise and vibration (except workplace protection)",NULL,"Non-investment environmental protection expenditure"
704877642,1708167,2013,"verejny","Česká republika","External non-investment costs","Protection and rehabilitation of soil, underground and surface water",NULL,"Non-investment environmental protection expenditure"
704877665,8812,2013,"verejny","Česká republika",NULL,"Radiation protection",NULL,"Non-investment environmental protection expenditure"
704877672,268484,2013,"verejny","Česká republika",NULL,"Research and development for environmental protection",NULL,"Non-investment environmental protection expenditure"
704877679,1002918,2013,"verejny","Česká republika",NULL,"Other environmental protection activities",NULL,"Non-investment environmental protection expenditure"
704877667,3717,2013,"verejny","Česká republika","External non-investment costs","Radiation protection",NULL,"Non-investment environmental protection expenditure"
704877666,5095,2013,"verejny","Česká republika","Internal non-investment costs","Radiation protection",NULL,"Non-investment environmental protection expenditure"
704877673,83269,2013,"verejny","Česká republika","Internal non-investment costs","Research and development for environmental protection",NULL,"Non-investment environmental protection expenditure"
704877674,185215,2013,"verejny","Česká republika","External non-investment costs","Research and development for environmental protection",NULL,"Non-investment environmental protection expenditure"
704877681,519642,2013,"verejny","Česká republika","External non-investment costs","Other environmental protection activities",NULL,"Non-investment environmental protection expenditure"
704877680,483276,2013,"verejny","Česká republika","Internal non-investment costs","Other environmental protection activities",NULL,"Non-investment environmental protection expenditure"
704877663,2601,2013,"verejny","Česká republika",NULL,"Landscape and biodiversity protection (species diversity)",NULL,"Revenues from sale of by-products"
704877638,11770025,2013,"verejny","Česká republika",NULL,"Waste management",NULL,"Revenues from sale of by-products"
704877647,41460,2013,"verejny","Česká republika",NULL,"Protection and rehabilitation of soil, underground and surface water",NULL,"Revenues from sale of by-products"
704877611,12507477,2013,"verejny","Česká republika",NULL,NULL,NULL,"Revenues from sale of by-products"
704877620,470169,2013,"verejny","Česká republika",NULL,"Air and climate protection",NULL,"Revenues from sale of by-products"
704877629,159333,2013,"verejny","Česká republika",NULL,"Wastewater management",NULL,"Revenues from sale of by-products"
704462499,0,2013,"verejny","Česká republika",NULL,"Limitation of noise and vibration (except workplace protection)",NULL,"Revenues from sale of by-products"
704877686,63889,2013,"verejny","Česká republika",NULL,"Other environmental protection activities",NULL,"Revenues from sale of by-products"
741305101,4967963,2014,"verejny","Česká republika",NULL,"Waste management",NULL,"Gross investment in tangible non-current assets"
741305119,879181,2014,"verejny","Česká republika",NULL,"Limitation of noise and vibration (except workplace protection)",NULL,"Gross investment in tangible non-current assets"
741305083,9498071,2014,"verejny","Česká republika",NULL,"Air and climate protection",NULL,"Gross investment in tangible non-current assets"
741305137,809942,2014,"verejny","Česká republika",NULL,"Radiation protection",NULL,"Gross investment in tangible non-current assets"
741305128,401664,2014,"verejny","Česká republika",NULL,"Landscape and biodiversity protection (species diversity)",NULL,"Gross investment in tangible non-current assets"
741305074,31390275,2014,"verejny","Česká republika",NULL,NULL,NULL,"Gross investment in tangible non-current assets"
741305092,11375974,2014,"verejny","Česká republika",NULL,"Wastewater management",NULL,"Gross investment in tangible non-current assets"
741305155,1617814,2014,"verejny","Česká republika",NULL,"Other environmental protection activities",NULL,"Gross investment in tangible non-current assets"
741305146,59314,2014,"verejny","Česká republika",NULL,"Research and development for environmental protection",NULL,"Gross investment in tangible non-current assets"
741305110,1780352,2014,"verejny","Česká republika",NULL,"Protection and rehabilitation of soil, underground and surface water",NULL,"Gross investment in tangible non-current assets"
741305102,3458084,2014,"verejny","Česká republika",NULL,"Waste management","Non-financial enterprises","Gross investment in tangible non-current assets"
741305076,13249165,2014,"verejny","Česká republika",NULL,NULL,"Government institutions","Gross investment in tangible non-current assets"
741305130,328421,2014,"verejny","Česká republika",NULL,"Landscape and biodiversity protection (species diversity)","Government institutions","Gross investment in tangible non-current assets"
741305085,646609,2014,"verejny","Česká republika",NULL,"Air and climate protection","Government institutions","Gross investment in tangible non-current assets"
741305112,544737,2014,"verejny","Česká republika",NULL,"Protection and rehabilitation of soil, underground and surface water","Government institutions","Gross investment in tangible non-current assets"
741305075,18141110,2014,"verejny","Česká republika",NULL,NULL,"Non-financial enterprises","Gross investment in tangible non-current assets"
741305111,1235615,2014,"verejny","Česká republika",NULL,"Protection and rehabilitation of soil, underground and surface water","Non-financial enterprises","Gross investment in tangible non-current assets"
741305103,1509879,2014,"verejny","Česká republika",NULL,"Waste management","Government institutions","Gross investment in tangible non-current assets"
741305121,646839,2014,"verejny","Česká republika",NULL,"Limitation of noise and vibration (except workplace protection)","Government institutions","Gross investment in tangible non-current assets"
741305093,2311799,2014,"verejny","Česká republika",NULL,"Wastewater management","Non-financial enterprises","Gross investment in tangible non-current assets"
741305129,73243,2014,"verejny","Česká republika",NULL,"Landscape and biodiversity protection (species diversity)","Non-financial enterprises","Gross investment in tangible non-current assets"
741305084,8851462,2014,"verejny","Česká republika",NULL,"Air and climate protection","Non-financial enterprises","Gross investment in tangible non-current assets"
741305120,232342,2014,"verejny","Česká republika",NULL,"Limitation of noise and vibration (except workplace protection)","Non-financial enterprises","Gross investment in tangible non-current assets"
741305094,9064175,2014,"verejny","Česká republika",NULL,"Wastewater management","Government institutions","Gross investment in tangible non-current assets"
741305147,NULL,2014,"duverny","Česká republika",NULL,"Research and development for environmental protection","Non-financial enterprises","Gross investment in tangible non-current assets"
741305138,805916,2014,"verejny","Česká republika",NULL,"Radiation protection","Non-financial enterprises","Gross investment in tangible non-current assets"
741305148,NULL,2014,"duverny","Česká republika",NULL,"Research and development for environmental protection","Government institutions","Gross investment in tangible non-current assets"
741305157,503826,2014,"verejny","Česká republika",NULL,"Other environmental protection activities","Government institutions","Gross investment in tangible non-current assets"
741305156,1113988,2014,"verejny","Česká republika",NULL,"Other environmental protection activities","Non-financial enterprises","Gross investment in tangible non-current assets"
741305139,4026,2014,"verejny","Česká republika",NULL,"Radiation protection","Government institutions","Gross investment in tangible non-current assets"
741305131,210229,2014,"verejny","Česká republika",NULL,"Landscape and biodiversity protection (species diversity)",NULL,"Turnover from selling of services"
741305104,30261437,2014,"verejny","Česká republika",NULL,"Waste management",NULL,"Turnover from selling of services"
741305113,925377,2014,"verejny","Česká republika",NULL,"Protection and rehabilitation of soil, underground and surface water",NULL,"Turnover from selling of services"
741305077,41949038,2014,"verejny","Česká republika",NULL,NULL,NULL,"Turnover from selling of services"
741305086,634322,2014,"verejny","Česká republika",NULL,"Air and climate protection",NULL,"Turnover from selling of services"
741305095,9747424,2014,"verejny","Česká republika",NULL,"Wastewater management",NULL,"Turnover from selling of services"
741305122,32013,2014,"verejny","Česká republika",NULL,"Limitation of noise and vibration (except workplace protection)",NULL,"Turnover from selling of services"
741305140,10227,2014,"verejny","Česká republika",NULL,"Radiation protection",NULL,"Turnover from selling of services"
741305149,20846,2014,"verejny","Česká republika",NULL,"Research and development for environmental protection",NULL,"Turnover from selling of services"
741305158,107163,2014,"verejny","Česká republika",NULL,"Other environmental protection activities",NULL,"Turnover from selling of services"
741305133,92,2014,"verejny","Česká republika",NULL,"Landscape and biodiversity protection (species diversity)",NULL,"Capitalized output (methodology valid until 2015)"
741305106,1242677,2014,"verejny","Česká republika",NULL,"Waste management",NULL,"Capitalized output (methodology valid until 2015)"
741305115,17765,2014,"verejny","Česká republika",NULL,"Protection and rehabilitation of soil, underground and surface water",NULL,"Capitalized output (methodology valid until 2015)"
741305079,1418135,2014,"verejny","Česká republika",NULL,NULL,NULL,"Capitalized output (methodology valid until 2015)"
741305088,47452,2014,"verejny","Česká republika",NULL,"Air and climate protection",NULL,"Capitalized output (methodology valid until 2015)"
741305097,31157,2014,"verejny","Česká republika",NULL,"Wastewater management",NULL,"Capitalized output (methodology valid until 2015)"
741305124,0,2014,"verejny","Česká republika",NULL,"Limitation of noise and vibration (except workplace protection)",NULL,"Capitalized output (methodology valid until 2015)"
741305142,0,2014,"verejny","Česká republika",NULL,"Radiation protection",NULL,"Capitalized output (methodology valid until 2015)"
741305151,0,2014,"verejny","Česká republika",NULL,"Research and development for environmental protection",NULL,"Capitalized output (methodology valid until 2015)"
741305160,78992,2014,"verejny","Česká republika",NULL,"Other environmental protection activities",NULL,"Capitalized output (methodology valid until 2015)"
741305072,33464991,2014,"verejny","Česká republika","Internal non-investment costs",NULL,NULL,"Non-investment environmental protection expenditure"
741305099,21009431,2014,"verejny","Česká republika","Internal non-investment costs","Waste management",NULL,"Non-investment environmental protection expenditure"
741305100,17251692,2014,"verejny","Česká republika","External non-investment costs","Waste management",NULL,"Non-investment environmental protection expenditure"
741305118,44399,2014,"verejny","Česká republika","External non-investment costs","Limitation of noise and vibration (except workplace protection)",NULL,"Non-investment environmental protection expenditure"
741305125,1226149,2014,"verejny","Česká republika",NULL,"Landscape and biodiversity protection (species diversity)",NULL,"Non-investment environmental protection expenditure"
741305090,6872607,2014,"verejny","Česká republika","Internal non-investment costs","Wastewater management",NULL,"Non-investment environmental protection expenditure"
741305126,290286,2014,"verejny","Česká republika","Internal non-investment costs","Landscape and biodiversity protection (species diversity)",NULL,"Non-investment environmental protection expenditure"
741305127,935863,2014,"verejny","Česká republika","External non-investment costs","Landscape and biodiversity protection (species diversity)",NULL,"Non-investment environmental protection expenditure"
741305098,38261123,2014,"verejny","Česká republika",NULL,"Waste management",NULL,"Non-investment environmental protection expenditure"
741305107,3858168,2014,"verejny","Česká republika",NULL,"Protection and rehabilitation of soil, underground and surface water",NULL,"Non-investment environmental protection expenditure"
741305081,2318807,2014,"verejny","Česká republika","Internal non-investment costs","Air and climate protection",NULL,"Non-investment environmental protection expenditure"
741305073,26632946,2014,"verejny","Česká republika","External non-investment costs",NULL,NULL,"Non-investment environmental protection expenditure"
741305108,1967401,2014,"verejny","Česká republika","Internal non-investment costs","Protection and rehabilitation of soil, underground and surface water",NULL,"Non-investment environmental protection expenditure"
741305082,1082117,2014,"verejny","Česká republika","External non-investment costs","Air and climate protection",NULL,"Non-investment environmental protection expenditure"
741305091,4144407,2014,"verejny","Česká republika","External non-investment costs","Wastewater management",NULL,"Non-investment environmental protection expenditure"
741305071,60097937,2014,"verejny","Česká republika",NULL,NULL,NULL,"Non-investment environmental protection expenditure"
741305080,3400924,2014,"verejny","Česká republika",NULL,"Air and climate protection",NULL,"Non-investment environmental protection expenditure"
741305117,419078,2014,"verejny","Česká republika","Internal non-investment costs","Limitation of noise and vibration (except workplace protection)",NULL,"Non-investment environmental protection expenditure"
741305089,11017014,2014,"verejny","Česká republika",NULL,"Wastewater management",NULL,"Non-investment environmental protection expenditure"
741305116,463477,2014,"verejny","Česká republika",NULL,"Limitation of noise and vibration (except workplace protection)",NULL,"Non-investment environmental protection expenditure"
741305109,1890767,2014,"verejny","Česká republika","External non-investment costs","Protection and rehabilitation of soil, underground and surface water",NULL,"Non-investment environmental protection expenditure"
741305134,33052,2014,"verejny","Česká republika",NULL,"Radiation protection",NULL,"Non-investment environmental protection expenditure"
741305143,383173,2014,"verejny","Česká republika",NULL,"Research and development for environmental protection",NULL,"Non-investment environmental protection expenditure"
741305152,1454857,2014,"verejny","Česká republika",NULL,"Other environmental protection activities",NULL,"Non-investment environmental protection expenditure"
741305136,4417,2014,"verejny","Česká republika","External non-investment costs","Radiation protection",NULL,"Non-investment environmental protection expenditure"
741305135,28635,2014,"verejny","Česká republika","Internal non-investment costs","Radiation protection",NULL,"Non-investment environmental protection expenditure"
741305144,58455,2014,"verejny","Česká republika","Internal non-investment costs","Research and development for environmental protection",NULL,"Non-investment environmental protection expenditure"
741305145,324718,2014,"verejny","Česká republika","External non-investment costs","Research and development for environmental protection",NULL,"Non-investment environmental protection expenditure"
741305154,954566,2014,"verejny","Česká republika","External non-investment costs","Other environmental protection activities",NULL,"Non-investment environmental protection expenditure"
741305153,500291,2014,"verejny","Česká republika","Internal non-investment costs","Other environmental protection activities",NULL,"Non-investment environmental protection expenditure"
741305132,8397,2014,"verejny","Česká republika",NULL,"Landscape and biodiversity protection (species diversity)",NULL,"Revenues from sale of by-products"
741305105,15534965,2014,"verejny","Česká republika",NULL,"Waste management",NULL,"Revenues from sale of by-products"
741305114,30008,2014,"verejny","Česká republika",NULL,"Protection and rehabilitation of soil, underground and surface water",NULL,"Revenues from sale of by-products"
741305078,16185035,2014,"verejny","Česká republika",NULL,NULL,NULL,"Revenues from sale of by-products"
741305087,354487,2014,"verejny","Česká republika",NULL,"Air and climate protection",NULL,"Revenues from sale of by-products"
741305096,92223,2014,"verejny","Česká republika",NULL,"Wastewater management",NULL,"Revenues from sale of by-products"
741305123,0,2014,"verejny","Česká republika",NULL,"Limitation of noise and vibration (except workplace protection)",NULL,"Revenues from sale of by-products"
741305141,0,2014,"verejny","Česká republika",NULL,"Radiation protection",NULL,"Revenues from sale of by-products"
741305150,0,2014,"verejny","Česká republika",NULL,"Research and development for environmental protection",NULL,"Revenues from sale of by-products"
741305159,164955,2014,"verejny","Česká republika",NULL,"Other environmental protection activities",NULL,"Revenues from sale of by-products"
749193074,5644701,2015,"verejny","Česká republika",NULL,"Waste management",NULL,"Gross investment in tangible non-current assets"
749193076,737988,2015,"verejny","Česká republika",NULL,"Limitation of noise and vibration (except workplace protection)",NULL,"Gross investment in tangible non-current assets"
749193072,13114795,2015,"verejny","Česká republika",NULL,"Air and climate protection",NULL,"Gross investment in tangible non-current assets"
749191837,1781257,2015,"verejny","Česká republika",NULL,"Radiation protection",NULL,"Gross investment in tangible non-current assets"
749193077,559524,2015,"verejny","Česká republika",NULL,"Landscape and biodiversity protection (species diversity)",NULL,"Gross investment in tangible non-current assets"
749193071,40109604,2015,"verejny","Česká republika",NULL,NULL,NULL,"Gross investment in tangible non-current assets"
749193073,15189426,2015,"verejny","Česká republika",NULL,"Wastewater management",NULL,"Gross investment in tangible non-current assets"
749191907,859388,2015,"verejny","Česká republika",NULL,"Other environmental protection activities",NULL,"Gross investment in tangible non-current assets"
749191898,71591,2015,"verejny","Česká republika",NULL,"Research and development for environmental protection",NULL,"Gross investment in tangible non-current assets"
749193075,2150934,2015,"verejny","Česká republika",NULL,"Protection and rehabilitation of soil, underground and surface water",NULL,"Gross investment in tangible non-current assets"
749193082,2743240,2015,"verejny","Česká republika",NULL,"Waste management","Non-financial enterprises","Gross investment in tangible non-current assets"
749193086,17173004,2015,"verejny","Česká republika",NULL,NULL,"Government institutions","Gross investment in tangible non-current assets"
749193093,365379,2015,"verejny","Česká republika",NULL,"Landscape and biodiversity protection (species diversity)","Government institutions","Gross investment in tangible non-current assets"
749193087,197447,2015,"verejny","Česká republika",NULL,"Air and climate protection","Government institutions","Gross investment in tangible non-current assets"
749193091,371177,2015,"verejny","Česká republika",NULL,"Protection and rehabilitation of soil, underground and surface water","Government institutions","Gross investment in tangible non-current assets"
749193078,22936600,2015,"verejny","Česká republika",NULL,NULL,"Non-financial enterprises","Gross investment in tangible non-current assets"
749193083,1779757,2015,"verejny","Česká republika",NULL,"Protection and rehabilitation of soil, underground and surface water","Non-financial enterprises","Gross investment in tangible non-current assets"
749193089,2901461,2015,"verejny","Česká republika",NULL,"Waste management","Government institutions","Gross investment in tangible non-current assets"
749193092,417045,2015,"verejny","Česká republika",NULL,"Limitation of noise and vibration (except workplace protection)","Government institutions","Gross investment in tangible non-current assets"
749193081,2482234,2015,"verejny","Česká republika",NULL,"Wastewater management","Non-financial enterprises","Gross investment in tangible non-current assets"
749193085,194145,2015,"verejny","Česká republika",NULL,"Landscape and biodiversity protection (species diversity)","Non-financial enterprises","Gross investment in tangible non-current assets"
749193080,12917348,2015,"verejny","Česká republika",NULL,"Air and climate protection","Non-financial enterprises","Gross investment in tangible non-current assets"
749193084,320943,2015,"verejny","Česká republika",NULL,"Limitation of noise and vibration (except workplace protection)","Non-financial enterprises","Gross investment in tangible non-current assets"
749193088,12707192,2015,"verejny","Česká republika",NULL,"Wastewater management","Government institutions","Gross investment in tangible non-current assets"
749191899,70060,2015,"verejny","Česká republika",NULL,"Research and development for environmental protection","Non-financial enterprises","Gross investment in tangible non-current assets"
749191838,NULL,2015,"duverny","Česká republika",NULL,"Radiation protection","Non-financial enterprises","Gross investment in tangible non-current assets"
749191900,1531,2015,"verejny","Česká republika",NULL,"Research and development for environmental protection","Government institutions","Gross investment in tangible non-current assets"
749191909,208867,2015,"verejny","Česká republika",NULL,"Other environmental protection activities","Government institutions","Gross investment in tangible non-current assets"
749191908,650521,2015,"verejny","Česká republika",NULL,"Other environmental protection activities","Non-financial enterprises","Gross investment in tangible non-current assets"
749191839,NULL,2015,"duverny","Česká republika",NULL,"Radiation protection","Government institutions","Gross investment in tangible non-current assets"
749193100,95128,2015,"verejny","Česká republika",NULL,"Landscape and biodiversity protection (species diversity)",NULL,"Turnover from selling of services"
749193097,28140634,2015,"verejny","Česká republika",NULL,"Waste management",NULL,"Turnover from selling of services"
749193098,1192206,2015,"verejny","Česká republika",NULL,"Protection and rehabilitation of soil, underground and surface water",NULL,"Turnover from selling of services"
749193094,39771461,2015,"verejny","Česká republika",NULL,NULL,NULL,"Turnover from selling of services"
749193095,621704,2015,"verejny","Česká republika",NULL,"Air and climate protection",NULL,"Turnover from selling of services"
749193096,9539627,2015,"verejny","Česká republika",NULL,"Wastewater management",NULL,"Turnover from selling of services"
749193099,NULL,2015,"duverny","Česká republika",NULL,"Limitation of noise and vibration (except workplace protection)",NULL,"Turnover from selling of services"
749191840,8876,2015,"verejny","Česká republika",NULL,"Radiation protection",NULL,"Turnover from selling of services"
749191901,18266,2015,"verejny","Česká republika",NULL,"Research and development for environmental protection",NULL,"Turnover from selling of services"
749191910,118687,2015,"verejny","Česká republika",NULL,"Other environmental protection activities",NULL,"Turnover from selling of services"
749193116,1054,2015,"verejny","Česká republika",NULL,"Landscape and biodiversity protection (species diversity)",NULL,"Capitalized output (methodology valid until 2015)"
749193113,1011290,2015,"verejny","Česká republika",NULL,"Waste management",NULL,"Capitalized output (methodology valid until 2015)"
749193111,41480,2015,"verejny","Česká republika",NULL,"Wastewater management",NULL,"Capitalized output (methodology valid until 2015)"
749193115,0,2015,"verejny","Česká republika",NULL,"Limitation of noise and vibration (except workplace protection)",NULL,"Capitalized output (methodology valid until 2015)"
749191894,0,2015,"verejny","Česká republika",NULL,"Radiation protection",NULL,"Capitalized output (methodology valid until 2015)"
749191903,0,2015,"verejny","Česká republika",NULL,"Research and development for environmental protection",NULL,"Capitalized output (methodology valid until 2015)"
749191963,95186,2015,"verejny","Česká republika",NULL,"Other environmental protection activities",NULL,"Capitalized output (methodology valid until 2015)"
749193118,29835854,2015,"verejny","Česká republika","Internal non-investment costs",NULL,NULL,"Non-investment environmental protection expenditure"
749193059,17820582,2015,"verejny","Česká republika","Internal non-investment costs","Waste management",NULL,"Non-investment environmental protection expenditure"
749193066,16635862,2015,"verejny","Česká republika","External non-investment costs","Waste management",NULL,"Non-investment environmental protection expenditure"
749193069,131086,2015,"verejny","Česká republika","External non-investment costs","Limitation of noise and vibration (except workplace protection)",NULL,"Non-investment environmental protection expenditure"
749193117,1212891,2015,"verejny","Česká republika",NULL,"Landscape and biodiversity protection (species diversity)",NULL,"Non-investment environmental protection expenditure"
749193058,6779987,2015,"verejny","Česká republika","Internal non-investment costs","Wastewater management",NULL,"Non-investment environmental protection expenditure"
749193062,196418,2015,"verejny","Česká republika","Internal non-investment costs","Landscape and biodiversity protection (species diversity)",NULL,"Non-investment environmental protection expenditure"
749193070,1016473,2015,"verejny","Česká republika","External non-investment costs","Landscape and biodiversity protection (species diversity)",NULL,"Non-investment environmental protection expenditure"
749193090,34456444,2015,"verejny","Česká republika",NULL,"Waste management",NULL,"Non-investment environmental protection expenditure"
749193101,3303157,2015,"verejny","Česká republika",NULL,"Protection and rehabilitation of soil, underground and surface water",NULL,"Non-investment environmental protection expenditure"
749193119,2238245,2015,"verejny","Česká republika","Internal non-investment costs","Air and climate protection",NULL,"Non-investment environmental protection expenditure"
749193063,26233348,2015,"verejny","Česká republika","External non-investment costs",NULL,NULL,"Non-investment environmental protection expenditure"
749193060,1887648,2015,"verejny","Česká republika","Internal non-investment costs","Protection and rehabilitation of soil, underground and surface water",NULL,"Non-investment environmental protection expenditure"
749193064,1063911,2015,"verejny","Česká republika","External non-investment costs","Air and climate protection",NULL,"Non-investment environmental protection expenditure"
749193065,4353960,2015,"verejny","Česká republika","External non-investment costs","Wastewater management",NULL,"Non-investment environmental protection expenditure"
749193057,56069202,2015,"verejny","Česká republika",NULL,NULL,NULL,"Non-investment environmental protection expenditure"
749193068,3302156,2015,"verejny","Česká republika",NULL,"Air and climate protection",NULL,"Non-investment environmental protection expenditure"
749193061,35923,2015,"verejny","Česká republika","Internal non-investment costs","Limitation of noise and vibration (except workplace protection)",NULL,"Non-investment environmental protection expenditure"
749193079,11133947,2015,"verejny","Česká republika",NULL,"Wastewater management",NULL,"Non-investment environmental protection expenditure"
749193112,167009,2015,"verejny","Česká republika",NULL,"Limitation of noise and vibration (except workplace protection)",NULL,"Non-investment environmental protection expenditure"
749193067,1415509,2015,"verejny","Česká republika","External non-investment costs","Protection and rehabilitation of soil, underground and surface water",NULL,"Non-investment environmental protection expenditure"
749191834,27601,2015,"verejny","Česká republika",NULL,"Radiation protection",NULL,"Non-investment environmental protection expenditure"
749191895,321488,2015,"verejny","Česká republika",NULL,"Research and development for environmental protection",NULL,"Non-investment environmental protection expenditure"
749191904,2144509,2015,"verejny","Česká republika",NULL,"Other environmental protection activities",NULL,"Non-investment environmental protection expenditure"
749191836,4876,2015,"verejny","Česká republika","External non-investment costs","Radiation protection",NULL,"Non-investment environmental protection expenditure"
749191835,22725,2015,"verejny","Česká republika","Internal non-investment costs","Radiation protection",NULL,"Non-investment environmental protection expenditure"
749191896,66577,2015,"verejny","Česká republika","Internal non-investment costs","Research and development for environmental protection",NULL,"Non-investment environmental protection expenditure"
749191897,254911,2015,"verejny","Česká republika","External non-investment costs","Research and development for environmental protection",NULL,"Non-investment environmental protection expenditure"
749191906,1356760,2015,"verejny","Česká republika","External non-investment costs","Other environmental protection activities",NULL,"Non-investment environmental protection expenditure"
749191905,787749,2015,"verejny","Česká republika","Internal non-investment costs","Other environmental protection activities",NULL,"Non-investment environmental protection expenditure"
749193108,5552,2015,"verejny","Česká republika",NULL,"Landscape and biodiversity protection (species diversity)",NULL,"Revenues from sale of by-products"
749193105,10518335,2015,"verejny","Česká republika",NULL,"Waste management",NULL,"Revenues from sale of by-products"
749193106,35588,2015,"verejny","Česká republika",NULL,"Protection and rehabilitation of soil, underground and surface water",NULL,"Revenues from sale of by-products"
749193102,11125049,2015,"verejny","Česká republika",NULL,NULL,NULL,"Revenues from sale of by-products"
749193103,268351,2015,"verejny","Česká republika",NULL,"Air and climate protection",NULL,"Revenues from sale of by-products"
749193104,123475,2015,"verejny","Česká republika",NULL,"Wastewater management",NULL,"Revenues from sale of by-products"
749193107,0,2015,"verejny","Česká republika",NULL,"Limitation of noise and vibration (except workplace protection)",NULL,"Revenues from sale of by-products"
749191841,0,2015,"verejny","Česká republika",NULL,"Radiation protection",NULL,"Revenues from sale of by-products"
749191902,0,2015,"verejny","Česká republika",NULL,"Research and development for environmental protection",NULL,"Revenues from sale of by-products"
749191911,173748,2015,"verejny","Česká republika",NULL,"Other environmental protection activities",NULL,"Revenues from sale of by-products"
766393118,3292951,2016,"verejny","Česká republika",NULL,"Waste management",NULL,"Gross investment in tangible non-current assets"
766392338,478952,2016,"verejny","Česká republika",NULL,"Limitation of noise and vibration (except workplace protection)",NULL,"Gross investment in tangible non-current assets"
766393066,9548945,2016,"verejny","Česká republika",NULL,"Air and climate protection",NULL,"Gross investment in tangible non-current assets"
766392400,733746,2016,"verejny","Česká republika",NULL,"Radiation protection",NULL,"Gross investment in tangible non-current assets"
766392391,177625,2016,"verejny","Česká republika",NULL,"Landscape and biodiversity protection (species diversity)",NULL,"Gross investment in tangible non-current assets"
766393057,25475951,2016,"verejny","Česká republika",NULL,NULL,NULL,"Gross investment in tangible non-current assets"
766393109,8561377,2016,"verejny","Česká republika",NULL,"Wastewater management",NULL,"Gross investment in tangible non-current assets"
766392410,1082393,2016,"verejny","Česká republika",NULL,"Other environmental protection activities",NULL,"Gross investment in tangible non-current assets"
766392348,31934,2016,"verejny","Česká republika",NULL,"Research and development for environmental protection",NULL,"Gross investment in tangible non-current assets"
766392329,1568028,2016,"verejny","Česká republika",NULL,"Protection and rehabilitation of soil, underground and surface water",NULL,"Gross investment in tangible non-current assets"
766393119,2992290,2016,"verejny","Česká republika",NULL,"Waste management","Non-financial enterprises","Gross investment in tangible non-current assets"
766393059,8161365,2016,"verejny","Česká republika",NULL,NULL,"Government institutions","Gross investment in tangible non-current assets"
766392393,65018,2016,"verejny","Česká republika",NULL,"Landscape and biodiversity protection (species diversity)","Government institutions","Gross investment in tangible non-current assets"
766393068,109870,2016,"verejny","Česká republika",NULL,"Air and climate protection","Government institutions","Gross investment in tangible non-current assets"
766392331,708703,2016,"verejny","Česká republika",NULL,"Protection and rehabilitation of soil, underground and surface water","Government institutions","Gross investment in tangible non-current assets"
766393058,17314586,2016,"verejny","Česká republika",NULL,NULL,"Non-financial enterprises","Gross investment in tangible non-current assets"
